"Kvittonamn","Varugrupp","Pris","Volym","AntalSålda","Alkoholhalt","APK"
"Spring Village Gren Syr Rosé 750","Rosévin",67,750,22231,12,1.34328358208955
"Dom Petit Clocher Rosé Loire 12 750","Rosévin",155,750,3,12,0.580645161290323
"Campo Viejo Rosé 12 750 ml","Rosévin",84,750,37,0,0
"Spring Village Gr Sy Rosé 187 ml","Rosévin",24,187,42618.0213903743,0,0
"Valdemar Rosado 12 750ml","Rosévin",79,750,32,12.5,1.18670886075949
"La Genestière Cuv Raphaël 11 750ml","Rosévin",119,750,13,14,0.882352941176471
"Prima Donna 12 750ml","Rosévin",119,750,18,14,0.882352941176471
"Domaine Lafond Roc-Epine 11 750ml","Rosévin",119,750,20,13.5,0.850840336134454
"Aragosta Rosé 12 750ml","Rosévin",88,750,12,16,1.36363636363636
"Schilcher Privat 14 750ml","Rosévin",126,750,34,14,0.833333333333333
"Sand Tropez 750ml","Rosévin",140,750,30,0,0
"Moulin des Costes Rosé 13 750ml","Rosévin",180,750,11,0,0
"Castelforte Bardolino 12 750ml","Rosévin",69,750,13,14.5,1.57608695652174
"Saint Ferréol Tavel Rosé 11 750ml","Rosévin",103,750,17,13.5,0.983009708737864
"Château Vignelaure Rosé 14 750ml","Rosévin",149,750,1457,13,0.654362416107383
"Château d´Aqueria Tavel Rosé 11 750","Rosévin",119,750,77,13.5,0.850840336134454
"Rosa dei Frati 15 750ml","Rosévin",135,750,364,13,0.722222222222222
"Jack Rabbit White Zinf 12 750ml","Rosévin",49,750,145,0,0
"Popova Kula Stanushina Rosé 13 750","Rosévin",109,750,2,12.5,0.860091743119266
"Alfa Tauri 11 750ml","Rosévin",121,750,12,13,0.805785123966942
"Cono Sur Bicicleta PN Rosé 15 750ml","Rosévin",89,750,189,13,1.09550561797753
"Le Capitaine Rosé 13 750ml","Rosévin",85,750,834,12.5,1.10294117647059
"MIP Made in Provence Rosé 15 750ml","Rosévin",145,750,272,12.5,0.646551724137931
"Château Castenet Rosé 13 750ml","Rosévin",103,750,6,0,0
"Cloud Chaser Rosé 12 750ml","Rosévin",171,750,21,0,0
"Fillieri Rosato 13 750ml","Rosévin",87,750,29,13.5,1.16379310344828
"Tapiz Malbec Rosé 13 750ml","Rosévin",99,750,51,14,1.06060606060606
"Coto Vintage Rosado 15 750ml","Rosévin",74,750,121,13.5,1.36824324324324
"Jacquinot Symphonie Rosé 05 750ml","Rosévin",501,750,4,0,0
"Sincérité Rosé 13 750ml","Rosévin",99,750,48,12.5,0.946969696969697
"Fanagoria C Rosé Spec Res 12 750ml","Rosévin",119,750,6,13,0.819327731092437
"Per Gessle Sommartider Rosé 750ml","Rosévin",85,750,865,13,1.14705882352941
"GSM Rosé 13 750ml","Rosévin",99,750,7,13,0.984848484848485
"Relax Pink 750ml","Rosévin",59,750,184,0,0
"Saint Sidoine Rosé 12 750ml","Rosévin",59,750,108,0,0
"Primitivo Quiles Rosado Virgen 750","Rosévin",72,750,4,12.5,1.30208333333333
"My Darling Cabernet Rosé 13 750ml","Rosévin",99,750,33,0,0
"Ch La Calisse Rosé 12 750ml","Rosévin",99,750,36,13.5,1.02272727272727
"Ch La Calisse Ortelli Rosé 12 750","Rosévin",139,750,44,14,0.755395683453237
"Valbusenda Abios Rosado 14 750ml","Rosévin",84,750,6,0,0
"Domaine Houchart Rosé 13 750ml","Rosévin",89,750,173,13,1.09550561797753
"Leopard's Leap FC Pinot Rosé 750","Rosévin",99,750,2289,12.5,0.946969696969697
"Grande Maison Nuit d'Été 15 750ml","Rosévin",119,750,12,13.5,0.850840336134454
"Clos La Neuve Rosé Séduction 12 750","Rosévin",79,750,12,13.5,1.28164556962025
"Clos La Neuve Rosé Émotion 750ml","Rosévin",49,750,156,0,0
"Adobe Rosé 3000 ml","Rosévin",209,3000,53946,11.5,1.65071770334928
"Adobe Reserva Rosé 750 ml","Rosévin",79,750,59037,11.5,1.09177215189873
"Santa Ana Organic CS Rosé 375ml","Rosévin",47,375,27640,13,1.03723404255319
"Santa Ana Organic CS Rosé 750ml","Rosévin",75,750,246574,12.5,1.25
"Undurraga TH PN Rosé 13 750 ml","Rosévin",129,750,9,0,0
"Les Dauphins CdR Org Rosé 15 750","Rosévin",89,750,404,13.5,1.1376404494382
"Coteaux d'Aix en Provence Box 3L","Rosévin",269,3000,153483,13,1.44981412639405
"Pittnauer Rosé 15 750ml","Rosévin",119,750,115,12,0.756302521008403
"LaCheteau Rosé d'Anjou 15 750ml","Rosévin",79,750,406,10.5,0.996835443037975
"Perfect Day 750 ml","Rosévin",79,750,214418,12.5,1.18670886075949
"Il Chiaretto Valtènesi 14 750ml","Rosévin",141,750,3,13.5,0.718085106382979
"Villa Yambol Rosé 14 750 ml","Rosévin",59,750,213,0,0
"Côtes du Rhône Rosé 12 750ml","Rosévin",99,750,90,0,0
"Miraval Rosé 13 750 ml","Rosévin",149,750,2,0,0
"Lindeman's Early Harves Rosé 13 750","Rosévin",59,750,71007,5.5,0.699152542372881
"Barefoot White Zinfandel Box 3L","Rosévin",199,3000,219347,8,1.20603015075377
"Loimer Rosé BIO 13 750 ml","Rosévin",121,750,15,0,0
"Lacrimarosa Mastroberardino 13 750","Rosévin",121,750,40,0,0
"André Vatan Maulin Bèle 15 750ml","Rosévin",169,750,34,12.5,0.554733727810651
"Grande Recolte 13 750 ml","Rosévin",109,750,160117,13,0.894495412844037
"Castelforte Rosato 15 Box 3L","Rosévin",169,3000,5766,12,2.1301775147929
"Charles & Charles Rosé 13 750ml","Rosévin",129,750,190,12.2,0.709302325581395
"Falco da Raza Rosé 14 750 ml","Rosévin",80,750,568,9.5,0.890625
"Chateau Pierrail Rosé 12 750ml","Rosévin",129,750,7,0,0
"Château Laulerie Rosé 15 750ml","Rosévin",114,750,21,12.5,0.822368421052632
"Domaine Sorin Rosé 13 750 ml","Rosévin",121,750,27,0,0
"Galets Rosé 15 750ml","Rosévin",115,750,1042,13.5,0.880434782608696
"Sancerre Rosé Pierre Descham 14 750","Rosévin",139,750,3917,12.5,0.674460431654676
"Ecologica La Pluma Rosé 750 ml","Rosévin",89,750,210867,12.5,1.05337078651685
"Minuty Rosé et OR 13 750 ml","Rosévin",189,750,16,0,0
"Maria Montazami Rosé 13 750 ml","Rosévin",89,750,484,12.5,1.05337078651685
"Sancerre Les Pierris R Champ 15 750","Rosévin",165,750,117,12.5,0.568181818181818
"Laurent Miquel Bockholmeng Rosé 750","Rosévin",129,750,4,12.5,0.726744186046512
"Abdyika Melnik Rosé 15 750ml","Rosévin",109,750,161,12.5,0.860091743119266
"Chinon Rosé Marie-Justine13 750 ml","Rosévin",115,750,3,12.5,0.815217391304348
"La Vie En R 14 750ml","Rosévin",99,750,42,12.5,0.946969696969697
"Cuvée Charlotte 14 750ml","Rosévin",135,750,25,0,0
"Summerburst Rosé 13 750ml","Rosévin",99,750,12,12.5,0.946969696969697
"Tommasi Surani Helios 13 750ml","Rosévin",99,750,68,12.5,0.946969696969697
"Otazu Rosado 13 750ml","Rosévin",111,750,60,13.5,0.912162162162162
"Chateau Le Fage Rosé 15 750ml","Rosévin",113,750,107,12,0.79646017699115
"55 Rosé 750ml","Rosévin",77,750,590,12.5,1.21753246753247
"55 Rosé 1,5L","Rosévin",171,1500,42,12.5,1.09649122807018
"Rosé d'Enfer15 750ml","Rosévin",105,750,15,12,0.857142857142857
"Gérard Bertrand Gr Bl Rose 14 1,5L","Rosévin",179,1500,52,13,1.08938547486034
"Lasse Stefanz Rosé 13 750ml","Rosévin",89,750,272,12,1.01123595505618
"Akakies Rosé 15 750ml","Rosévin",92,750,53,12.5,1.01902173913043
"Domaine Pinchinat Rosé 15 750ml","Rosévin",122,750,111,14,0.860655737704918
"Vistamar Sepia Reserv Rosé 11 750ml","Rosévin",50,750,6,0,0
"Nervi Rosa Vino Rosato 13 750ml","Rosévin",125,750,6,0,0
"Jean Leon 3055 Rosé 15 750ml","Rosévin",129,750,79,13,0.755813953488372
"Loubié Rosé 13 750ml","Rosévin",99,750,29,0,0
"Langhe Rosato 15 750ml","Rosévin",156,750,102,13,0.625
"Ch Sainte Marguerite 13 750ml","Rosévin",125,750,79,0,0
"Le Troubadour 13 750ml","Rosévin",69,750,54,12.5,1.35869565217391
"Curvos Rosé 13 750ml","Rosévin",89,750,111,11.5,0.969101123595506
"Barthomeus Rosat 13 750ml","Rosévin",103,750,27,13.5,0.983009708737864
"Selected By Glass Syrah 187 ml","Rosévin",33,187,168.021390374332,13,0.736666666666667
"Palm Rosé 14 750ml","Rosévin",99,750,212,12.5,0.946969696969697
"S By Sweden Rosé 750ml","Rosévin",101,750,72,12.5,0.928217821782178
"Monrose Rosato 15 750ml","Rosévin",162,750,551,13,0.601851851851852
"Lavignone Rosato 13 750ml","Rosévin",109,750,38,14,0.963302752293578
"Vernissage Rosé 15 box 1,5L","Rosévin",149,1500,329,13,1.30872483221477
"l'Escarelle Rosé box 3L","Rosévin",270,3000,20,12.5,1.38888888888889
"Linnéa Cab de Saumur 12 750ml","Rosévin",132,750,9,12.5,0.710227272727273
"Crazy Tropez Rosé 1,5L","Rosévin",203,1500,3,0,0
"Cabernet Sauvignon Rosé 11 750ml","Rosévin",242,750,2,11.5,0.356404958677686
"Per Ols Råsa 750ml","Rosévin",200,750,218,12,0.45
"Coeur Clémentine 14 750ml","Rosévin",109,750,72,13.5,0.928899082568807
"Mas de la Rouvière 13 750ml","Rosévin",199,750,6,0,0
"Mälarpaviljonen Rosé 15 750ml","Rosévin",89,750,149,14.5,1.22191011235955
"Vingooo Rosé Wine 187ml","Rosévin",27,187,21.9786096256685,0,0
"Teatro Rosé 14 750ml","Rosévin",89,750,3,11.5,0.969101123595506
"Cevennes Grenache 13 750ml","Rosévin",90,750,8,12,1
"Petite Cuvée Madame 14 750ml","Rosévin",79,750,91195,13.5,1.28164556962025
"Urban Deli Rosé IV 15 750ml","Rosévin",121,750,29,12.5,0.774793388429752
"Rosalie Rosé Trocken 14 750 ml","Rosévin",99,750,177,12,0.909090909090909
"Cerasuolo d'Abruzzo 14 750ml","Rosévin",126,750,73,14,0.833333333333333
"Chateau L'afrique 15 750ml","Rosévin",162,750,73,12.5,0.578703703703704
"Franciacorta Rosé 750ml","Rosévin",261,750,5,12.5,0.359195402298851
"OHH syrah Rosé 187ml","Rosévin",29,187,79711.0160427807,12.5,0.806034482758621
"Ch Gassier Cuvée Loubiero 13 750ml","Rosévin",121,750,29,0,0
"LAB Rosé 14 750ml","Rosévin",63,750,6,0,0
"Little Big Rosé 14 750ml","Rosévin",89,750,62,13,1.09550561797753
"Chez Paulette Cuvées Rosé  13 750","Rosévin",64,750,140,12.5,1.46484375
"Foot of Africa Rosé 14 750ml","Rosévin",69,750,673,0,0
"Pavillion Rosé 16 750ml","Rosévin",77,750,203,13,1.26623376623377
"Stellenrust Rosé Pi Post box 3 L","Rosévin",199,3000,31883,13,1.95979899497487
"Natura Rosé 14 750 ml","Rosévin",69,750,24808,11.5,1.25
"Maquis Rosé GR 14 750ml","Rosévin",119,750,414,12,0.756302521008403
"Undurraga TH PN Rosé 14 750 ml","Rosévin",109,750,1607,0,0
"Pietradolce Etna Rosato 15 750ml","Rosévin",187,750,168,13,0.521390374331551
"Domain Road Pinot Noir Rosé 14 750","Rosévin",149,750,3,12,0.604026845637584
"Ramón Bilbao Rosado 14 750ml","Rosévin",79,750,113,0,0
"Zlatan Otok Rosé 12 750ml","Rosévin",170,750,14,0,0
"The Big Zin Rosé Zinfandel 14 750ml","Rosévin",69,750,45,0,0
"TREMENDUS Rosé 13 750ml","Rosévin",100,750,83,12.5,0.9375
"Manon 14 750ml","Rosévin",114,750,58,12.5,0.822368421052632
"Manon 14 1,5L","Rosévin",229,1500,16,12.5,0.818777292576419
"Loimer Rosé BIO 14 750 ml","Rosévin",119,750,275,0,0
"Bründlmayer Rosé Zweigelt 14 750ml","Rosévin",125,750,463,0,0
"Mulderbosch Cabernet Rosé 14 1,5L","Rosévin",165,1500,1652,12.5,1.13636363636364
"Znovín CS Rosé 13 750ml","Rosévin",94,750,4,11.5,0.917553191489362
"Chateau de Paraza Cuvée 13 750ml","Rosévin",99,750,4,12,0.909090909090909
"Mas Mellot 750 ml","Rosévin",79,750,165443,12,1.13924050632911
"Château TSH Rose 14 750ml","Rosévin",69,750,2516,13.5,1.46739130434783
"Sant'Emiliano Chiaretto 14 750 ml","Rosévin",89,750,60890,12.5,1.05337078651685
"Robertson Pinot Noir Rosé 14 box 3L","Rosévin",149,3000,340,0,0
"Smart Dog Rosé 14 750ml","Rosévin",75,750,464,14,1.4
"Tommasi Baciorosa Appass 14 750ml","Rosévin",89,750,223259,13,1.09550561797753
"HandCraft White Zinf Rosé 14 750ml","Rosévin",75,750,1892,10.5,1.05
"Coteaux d'Aix en Provence 14 750ml","Rosévin",115,750,262,12.5,0.815217391304348
"Mia Rosé box 14 3 l","Rosévin",199,3000,246,0,0
"Puychéric Syrah Rosé 14 375ml","Rosévin",39,375,118,12.5,1.20192307692308
"Georg Breuer Spätburg rosé 14 750ml","Rosévin",119,750,135,0,0
"Petite Faiblesse Rosé 15 750ml","Rosévin",75,750,234,10.5,1.05
"La Croix Iirrésistible Rosé 15 750","Rosévin",128,750,222,13,0.76171875
"La Croix Cuvée Éloge CC 15 750ml","Rosévin",152,750,96,13,0.641447368421053
"SomeZin Pinot Noir Rosé 14 750 ml","Rosévin",99,750,15006,13,0.984848484848485
"Exquise Prestige Rosé 14 750ml","Rosévin",99,750,982,12.5,0.946969696969697
"Klagshamns Rosé 500 ml","Rosévin",150,500,801,12,0.4
"Znovín Cuvée Rosé 1L","Rosévin",93,1000,6,12,1.29032258064516
"Templárské Zweigeltrebe Rosé 750","Rosévin",88,750,6,11.5,0.980113636363636
"Scalabrone Rosato 14 750ml","Rosévin",109,750,742,12.5,0.860091743119266
"Txomin Etxaniz Rosado 14 750 ml","Rosévin",119,750,333,11,0.69327731092437
"Muga Rosé Especial 14 750ml","Rosévin",109,750,774,13,0.894495412844037
"Juno Rosé 16 Box 3 L","Rosévin",189,3000,109869,12.5,1.98412698412698
"Un Moment Like This Org Rosé 14 750","Rosévin",79,750,29,0,0
"Castel Roubine Rosé 15 750ml","Rosévin",99,750,1490,13,0.984848484848485
"Le Bouquet Pinot Noir Rosé 14 750ml","Rosévin",109,750,6,14.5,0.997706422018349
"Lumière de Provence 14 1,5L","Rosévin",269,1500,2,12.5,0.697026022304833
"Lumière de Provence 14 750ml","Rosévin",129,750,29,12.5,0.726744186046512
"Bodvar of Sweden No 7 Rosé 15 750ml","Rosévin",119,750,1655,12.5,0.78781512605042
"Bodvar of Sweden No 7 Rosé 14 1,5L","Rosévin",279,1500,68,12.5,0.672043010752688
"Belle Blush White Zinf Rosé 14 1,5L","Rosévin",149,1500,5785,10.5,1.05704697986577
"La Riviera 14 750ml","Rosévin",99,750,453,12.5,0.946969696969697
"Cassiopea Rose 14 750 ml","Rosévin",99,750,1953,12.5,0.946969696969697
"Spinetta Rosé di Casanova 14 750 ml","Rosévin",119,750,5,0,0
"Whispering Angel 14 6L","Rosévin",2595,6000,4,13,0.300578034682081
"Clotilde Davenne Bourgogne 14 750ml","Rosévin",119,750,532,0,0
"Commandeur Jarras Rosé 14 750","Rosévin",149,750,128,0,0
"Triennes Rosé 14 750 ml","Rosévin",119,750,413,0,0
"Pure Mirabeau Provence Rosé 14 750","Rosévin",139,750,78,7.5,0.404676258992806
"L'Esprit de Provence 14 750ml","Rosévin",99,750,733,0,0
"Miraval Rosé 14 750 ml","Rosévin",159,750,112,0,0
"Ch Routas Rouviere Rosé 14 750ml","Rosévin",119,750,135,13,0.819327731092437
"ViNo Sangiovese Rosé 14 750ml","Rosévin",119,750,148,12,0.756302521008403
"Plaisir de Vigne Grenache 14 750ml","Rosévin",79,750,45,12.5,1.18670886075949
"Villa Righetti Rosé 14 750ml","Rosévin",79,750,118,12.5,1.18670886075949
"René Couly Rosé 16 750ml","Rosévin",129,750,316,13,0.755813953488372
"Domaine Horgelus Rosé 15 750ml","Rosévin",99,750,462,11.5,0.871212121212121
"Castello di Ama Rosato 14 750ml","Rosévin",145,750,12,13,0.672413793103448
"Marsannay Rosé Clair-Daü 14 750 ml","Rosévin",109,750,1237,0,0
"Xavier CdR Rosé 13 750ml","Rosévin",89,750,57,13,1.09550561797753
"Xavier CdR Fanclub Edition 14 1,5L","Rosévin",219,1500,84,13,0.89041095890411
"Grande Cuvée Madame 15 750ml","Rosévin",149,750,622,13,0.654362416107383
"Yellow Tail Pink Moscato 750ml","Rosévin",69,750,5365,7.5,0.815217391304348
"Rosasera Cerasuolo dAbruzzo 14 750","Rosévin",69,750,16,13,1.41304347826087
"Etna Rosato 14 750 ml","Rosévin",139,750,697,0,0
"Tavel La Forcadière 11 750ml","Rosévin",90,750,31,14,1.16666666666667
"Ch de Selle Coeur de Gr Rose 14 750","Rosévin",249,750,28,0,0
"Delheim Pinotage Rosé 15 750","Rosévin",79,750,2601,0,0
"Memoire 10 Fondo Antico 750ml","Rosévin",149,750,474,12.5,0.629194630872483
"Haedus Rosé 15 750ml","Rosévin",118,750,1707,13.5,0.858050847457627
"Bingo by Sweden Rosé box 3L","Rosévin",168,3000,24,0,0
"Grand Voile 14 750ml","Rosévin",107,750,150,13.5,0.946261682242991
"Cuvée du Golfe 14 750ml","Rosévin",101,750,24,12,0.891089108910891
"Cepages Gris Rosé 750ml","Rosévin",88,750,19,0,0
"Rosé n'Roll 14 750ml","Rosévin",111,750,110,13,0.878378378378378
"LUX Royal 14 750ml","Rosévin",99,750,2642,0,0
"Chêne Bleu Rosé 14 750ml","Rosévin",179,750,255,0,0
"Palette Rosé 13 750ml","Rosévin",39,750,719,14,2.69230769230769
"Les Dauphins CdR Réserve 14 1,5L","Rosévin",169,1500,24,12.5,1.1094674556213
"AIX Rosé 15 750ml","Rosévin",129,750,1962,13,0.755813953488372
"Uvam Blush 15 750ml","Rosévin",95,750,108,12,0.947368421052632
"Sandhammarens Beach 14 750 ml","Rosévin",177,750,105,12,0.508474576271186
"Jules Côtes de Provence 14 750ml","Rosévin",99,750,20,13,0.984848484848485
"Jules Rosé de Méditerranée 14 750ml","Rosévin",79,750,54,13,1.23417721518987
"Grande Cuvée Madame 14 1,5L","Rosévin",299,1500,129,13,0.652173913043478
"i Pink Rosé 750ml","Rosévin",99,750,304,0,0
"Nostos Pink 14 750ml","Rosévin",129,750,108,14.3,0.831395348837209
"Andra Generationen Rosé for 14 750","Rosévin",109,750,57,13,0.894495412844037
"White Tropez Rosé 14 750ml","Rosévin",195,750,104,12.5,0.480769230769231
"Black Tropez Rosé 14 750ml","Rosévin",279,750,49,12.5,0.336021505376344
"KO Rosé 14 750ml","Rosévin",135,750,4,13.5,0.75
"Gutevin Hablingbo Rosé 14 750 ml","Rosévin",159,750,496,0,0
"Skepparps Grand Prix Rosé 500ml","Rosévin",149,500,343,11.5,0.385906040268456
"Seara Rosé 12 750ml","Rosévin",113,750,10,12.5,0.829646017699115
"MilleUna Prima Ros Negro Ros 14 750","Rosévin",177,750,13,13.5,0.572033898305085
"Dom de Calet Rosé 13 750ml","Rosévin",119,750,102,13,0.819327731092437
"Château Lestrille Rosé 14 750ml","Rosévin",99,750,210,12.5,0.946969696969697
"Château Lestrille Capmart Ro 15 750","Rosévin",99,750,860,13,0.984848484848485
"Cornet & Cie Rosé 14 750ml","Rosévin",137,750,38,13,0.711678832116788
"Collioure Cuvée D Peintres 14 750ml","Rosévin",109,750,57,13.5,0.928899082568807
"AIX Rosé 15 3L","Rosévin",599,3000,53,0,0
"Moulin des Costes Rosé 15 750ml","Rosévin",189,750,36,13.5,0.535714285714286
"Grande Recolte 14 1,5L","Rosévin",245,1500,160,12.5,0.76530612244898
"Chateau La Rouvière Rosé 14 750ml","Rosévin",249,750,14,13.5,0.406626506024096
"La Petite Soeur 14 750ml","Rosévin",104,750,12,0,0
"Jurtschitsch Vom Zweigelt 14 750ml","Rosévin",109,750,202,12.5,0.860091743119266
"Clot Rosat 14 750ml","Rosévin",79,750,6,13.5,1.28164556962025
"Chateau Lescarelle Prestige 14 750m","Rosévin",129,750,16,13,0.755813953488372
"Carawine Camper Rosé Edition 3L","Rosévin",169,3000,30,0,0
"Chateau Coussin 14 750ml","Rosévin",184,750,14,12.5,0.509510869565217
"Le Galantin 750ml","Rosévin",184,750,6,14.5,0.591032608695652
"Massimago Magó Brut Rosé 12 750ml","Rosévin",229,750,702,11.5,0.376637554585153
"Ch Moyau Le Flamant 14 750ml","Rosévin",119,750,7,13.5,0.850840336134454
"Frank Meyer Rosé 14 750ml","Rosévin",117,750,78,12,0.769230769230769
"Thymiopoulos Rosé 13 750ml","Rosévin",137,750,19,13,0.711678832116788
"Porcosporco Dirty Juice 14 750ml","Rosévin",195,750,9,13,0.5
"Ch de Brau Rosé 13 750ml","Rosévin",230,750,48,13,0.423913043478261
"Pheasant's Tears Tavkveri 13 750ml","Rosévin",175,750,94,0,0
"Acquagiusta Rosé 750ml","Rosévin",135,750,24,13,0.722222222222222
"Les Baumes 14 750 ml","Rosévin",159,750,44,12,0.566037735849057
"Bandol Rosé 14 750 ml","Rosévin",244,750,246,0,0
"Pinta Negra Rosé 14 750ml","Rosévin",88,750,96,13,1.10795454545455
"Signature By Markus Aujalay 14 750","Rosévin",99,750,306,13,0.984848484848485
"Cabernet d'Anjou 15 750ml","Rosévin",116,750,195,11,0.711206896551724
"Les Petites Jamelles Rosé 14 750ml","Rosévin",79,750,75,12.5,1.18670886075949
"Les Jamelles Grenache Rosé 14 750ml","Rosévin",89,750,196,0,0
"Langelo Bucciarelli Rosato 13 750ml","Rosévin",99,750,72,13,0.984848484848485
"Rossello Gran Rosè di Pinot 750ml","Rosévin",119,750,39,11.5,0.724789915966387
"Wester Vin Rose Eko 14 750 ml","Rosévin",141,750,81,11,0.585106382978723
"Prego Rosato Biologico 14 1L","Rosévin",39,1000,177,0,0
"Vina Punta Skala Rosé Scuro 14 750m","Rosévin",191,750,6,11,0.431937172774869
"Rosagreen Chiaretto 15 750ml","Rosévin",146,750,35,12.5,0.642123287671233
"Chianti Rosato 13 750ml","Rosévin",129,750,13,12,0.697674418604651
"Vermiglio 14 750ml","Rosévin",129,750,9,13.5,0.784883720930233
"Dom de la Tour du Bon Rosé 14 750ml","Rosévin",136,750,286,0,0
"Vistamar Sepia Res Rosé PET 11 750","Rosévin",40,750,47,13,2.4375
"Rosè Piscine 750ml","Rosévin",110,750,42,11,0.75
"Lidköping Rosé 14 750ml","Rosévin",99,750,82,12,0.909090909090909
"Domaine de Calet Rosé 13 750ml","Rosévin",119,750,6,13,0.819327731092437
"Templárské Rulandské Modré 13 750ml","Rosévin",126,750,4,12,0.714285714285714
"Dolina Rosé 14 750ml","Rosévin",86,750,385,12.5,1.09011627906977
"Jacob's Creek Crisp Rosé 750 ml","Rosévin",79,750,108446,11.7,1.11075949367089
"Cameleon Malb Cab Rosé Box 3L","Rosévin",209,3000,87275,12,1.72248803827751
"Annas Secret Rosé 14 750ml","Rosévin",124,750,30,13,0.786290322580645
"Tommasi Bardolino Chiaretto 14 750","Rosévin",99,750,31,12,0.909090909090909
"Tommasi Baciorosa Appass 15 375ml","Rosévin",56,375,57.0133333333333,13,0.870535714285714
"Tommasi Baciorosa 15 Box 3L","Rosévin",259,3000,723,13,1.50579150579151
"Maquis Rosé 15 750 ml","Rosévin",119,750,4358,11.5,0.724789915966387
"Wölffer Estate Rosé 14 750ml","Rosévin",203,750,11,11.5,0.42487684729064
"Wölffer Estate Summer Rosé 14 750ml","Rosévin",246,750,14,12.5,0.38109756097561
"Torres Santa Digna CS Rosé 15 750ml","Rosévin",89,750,23897,13.5,1.1376404494382
"Leitz Eins Zwei Dry rose 15 750ml","Rosévin",99,750,1975,11.5,0.871212121212121
"Domain Road Pinot Noir Rosé 15 750","Rosévin",149,750,3174,13.5,0.679530201342282
"Pousio Rosé 14 750ml","Rosévin",89,750,89,0,0
"Dilé d Rosa 750ml","Rosévin",132,750,65,12.5,0.710227272727273
"Mrva & Stanko CS Rosé 14 750ml","Rosévin",247,750,15,12,0.364372469635628
"Domaine Houchart Rosé 14 1,5L","Rosévin",189,1500,22,12.5,0.992063492063492
"Delaire Graff Cab Fr Rosé 15 750","Rosévin",119,750,3976,0,0
"The Long Little Dog Rosé 14 375ml","Rosévin",29,375,1492,12.5,1.61637931034483
"P.Lex Pinot Grigio Rosé 15 750ml","Rosévin",89,750,4272,12,1.01123595505618
"Bovin Ana Marija Rosé 14 750ml","Rosévin",141,750,7,14.5,0.771276595744681
"Langhe Rosato Jo Saffirio 15 750 ml","Rosévin",119,750,5838,12.5,0.78781512605042
"Kudos Grenache Rouge 15 750ml","Rosévin",99,750,27,13,0.984848484848485
"Gallo Family White Grenache 15 750","Rosévin",69,750,69050,10,1.08695652173913
"Les Pins Couchés Rosé 15 750ml","Rosévin",119,750,100,12.5,0.78781512605042
"Bodvar of Sweden No 7 Rosé 14 3L","Rosévin",899,3000,15,12.5,0.417130144605117
"La Galope Rosé 15 750 ml","Rosévin",75,750,38587,9.5,0.95
"Côté Mas Organic Rosé 15 750 ml","Rosévin",79,750,113044,13.5,1.28164556962025
"Patriarche Bourgogne Rosé 15 750 ml","Rosévin",119,750,15280,12,0.756302521008403
"La Spinetta il Rosé di Casan 15 750","Rosévin",119,750,21404,0,0
"Pasqua Pinot Grigio Rosé 14 750ml","Rosévin",29,750,32577,0,0
"Minuty Préstige Rosé 14 1,5L","Rosévin",309,1500,268,13,0.631067961165049
"Bourgueil Rosé d'Equinoxe 14 750ml","Rosévin",222,750,10,0,0
"Musso Organic Bobal Rosé 15 750ml","Rosévin",99,750,39,11.5,0.871212121212121
"Chill Out Shiraz 14 Påse 1,5L","Rosévin",125,1500,154,0,0
"Ch Gassier Le Pas du Moine 15 750ml","Rosévin",165,750,242,13,0.590909090909091
"Erdut Rosé 13 750ml","Rosévin",110,750,38,11,0.75
"99 Rosas Rosé Organic 15 Box 3L","Rosévin",199,3000,154086,13.5,2.03517587939698
"Rosé Zweigelt 15 box 2 L","Rosévin",179,2000,9903,11.5,1.28491620111732
"Monte da Ravasqueira Rosé 14 750ml","Rosévin",146,750,3,14,0.719178082191781
"Echo Falls White Zinfandel 14 1,5L","Rosévin",99,1500,50931,10,1.51515151515152
"Domaene Gobelsburg Rosé 15 1,5L","Rosévin",189,1500,3511,12,0.952380952380952
"Vajra Rosabella Rosato 750 ml","Rosévin",99,750,7647,12.5,0.946969696969697
"Klagshamns Rosé Barrique 15 500ml","Rosévin",150,500,809,12.5,0.416666666666667
"Fontanafredda Langhe Rosato 15 750","Rosévin",89,750,19589,12.5,1.05337078651685
"Wannborga Rose 14 500 ml","Rosévin",149,500,286,0,0
"Rosé Privé 14 750ml","Rosévin",129,750,23,12,0.697674418604651
"Umathum Rosa 15 750 ml","Rosévin",129,750,1152,0,0
"Loimer Rosé BIO 15 750 ml","Rosévin",119,750,10847,12,0.756302521008403
"Terreno Rosato 15 750ml","Rosévin",100,750,468,12,0.9
"Posidonia Rosat 14 750ml","Rosévin",116,750,2,12.5,0.808189655172414
"GB Spätburgunder Rose 15 750 ml","Rosévin",119,750,1466,11,0.69327731092437
"Txomin Etxaniz Rosado 15 750 ml","Rosévin",119,750,1592,10.5,0.661764705882353
"2 Mazi Rosé 14 750ml","Rosévin",119,750,10,13.5,0.850840336134454
"Rose de Purcari 15 750ml","Rosévin",149,750,395,13.5,0.679530201342282
"Casa do Lago Rosé 14 750ml","Rosévin",89,750,5,0,0
"Las Cañadas 15 750 ml","Rosévin",119,750,2060,12.5,0.78781512605042
"Rosé de Chevalier 15 750ml","Rosévin",129,750,591,13.5,0.784883720930233
"Scalabrone Rosato 15 750 ml","Rosévin",109,750,2808,12.5,0.860091743119266
